Station,Linename,Lat,Long
59 ST,NQR456W,40.6413616662838,-74.01788099953987
5 AV/59 ST,NQRW,40.764810999755284,-73.97334700047045
57 ST-7 AV,NQRW,40.76456552501829,-73.98072973372128
49 ST,NQRW,40.759801973870694,-73.98420956591096
TIMES SQ-42 ST,ACENQRS1237W,40.75461199851542,-73.98676800153976
34 ST-HERALD SQ,BDFMNQRW,40.74964456009442,-73.9879368338264
28 ST,NRW,40.74545399979951,-73.98869800128737
23 ST,NRW,40.74130266729,-73.98934400102907
14 ST-UNION SQ,LNQR456W,40.734673000996125,-73.98995099881881
8 ST-NYU,NRW,40.73046499853991,-73.99250799849149
PRINCE ST,NRW,40.72432866597571,-73.99770200045987
CANAL ST,JNQRZ6W,40.71817387697391,-73.99982638545937
CITY HALL,NRW,40.71327233111697,-74.00698581780337
CORTLANDT ST,RNW,40.7105129841524,-74.01113196473266
RECTOR ST,NRW,40.707744756294474,-74.01297456253795
WHITEHALL S-FRY,R1W,40.703142373599135,-74.0130072374272
DELANCEY/ESSEX,FJMZ,40.71830605618619,-73.98740940202974
BOWERY,JZ,40.720246883147254,-73.99380690654237
CHAMBERS ST,JZ456,40.71323378962671,-74.00340673031336
FULTON ST,ACJZ2345,40.71016216530185,-74.00762309323994
BROAD ST,JZ,40.706476001106005,-74.01105599991755
7 AV,BQ,40.67710217983294,-73.97285279191024
PARK PLACE,S,40.67477166685263,-73.95762400074634
BOTANIC GARDEN,S2345,40.670342666584396,-73.95924499945693
PROSPECT PARK,BQS,40.6616334551018,-73.96203130426609
PARKSIDE AV,BQ,40.65507304163716,-73.96145343987648
CHURCH AV,BQ,40.65049324646484,-73.96288246192114
BEVERLEY ROAD,BQ,40.64390459860419,-73.96435779623125
CORTELYOU RD,BQ,40.6409401651401,-73.96379005505493
NEWKIRK PLAZA,BQ,40.63514193733789,-73.96269486837261
AVENUE H,BQ,40.62920837758969,-73.96151793942495
AVENUE J,BQ,40.625022819915166,-73.96069316246925
AVENUE M,BQ,40.617397744443736,-73.9592431052215
KINGS HWY,BQ,40.608638645396006,-73.95760873538083
AVENUE U,BQ,40.59930895095475,-73.95581122316301
NECK RD,BQ,40.59532169111695,-73.95507827493762
SHEEPSHEAD BAY,BQ,40.58654754707536,-73.95405791257907
BRIGHTON BEACH,BQ,40.577710196642435,-73.96135378598797
OCEAN PKWY,Q,40.57631166708091,-73.96850099975177
BOROUGH HALL,R2345,40.692403999991036,-73.99015100090539
JAY ST-METROTEC,R,40.69225539645323,-73.98605667854612
DEKALB AV,BDNQR,40.690648119969794,-73.98177094440949
ATL AV-BARCLAY,BDNQR2345,40.68442016526762,-73.97754993539385
UNION ST,R,40.67731566735096,-73.98310999909673
4AV-9 ST,DFGMNR,40.67027166728493,-73.98977899938897
PROSPECT AV,R,40.694196480776995,-73.99181830901125
25 ST,R,40.648938666612814,-74.01000600074939
36 ST,DNR,40.65514366633887,-74.00354899951809
45 ST,R,40.648938666612814,-74.01000600074939
53 ST,R,40.64506866735981,-74.01403399986317
59 ST,NRW,40.6413616662838,-74.01788099953987
BAY RIDGE AV,R,40.63496666682377,-74.02337699950728
77 ST,R,40.629741666886915,-74.0255099996266
86 ST,R,40.62268666715025,-74.0283979999864
BAY RIDGE-95 ST,R,40.61662166725951,-74.03087600085765
8 AV,N,40.634970999647166,-74.01151599772157
FT HAMILTON PKY,N,40.63138566722445,-74.00535100046275
NEW UTRECHT AV,ND,40.62484166725887,-73.99635300025969
18 AV,N,40.620686997680025,-73.99045399865993
20 AV,N,40.617108999866005,-73.98452199846113
BAY PKWY,N,40.61145578989005,-73.98178001069293
KINGS HWY,N,40.60405899980493,-73.98037300229343
AVENUE U,N,40.597235999920436,-73.97908400099428
86 ST,N,40.59246500088859,-73.97818899936274
